"old_menu_id","old_menu_label","old_screen_label_id","new_menu_id","new_menu_label","new_screen_id","new_screen_label","consolidation_type","notes"
"mypage","내정보","01","work","업무","work_myhome","내정보 메인페이지","유지","로그인 후 첫 화면. 관리자/일반 역할뷰 유지"
"mypage","내정보","02","work","업무","work_checkin","출퇴근","유지","Mobile전용. 현장 근무자 매일 사용"
"mypage","내정보","03","work","업무","work_todo","할일","탭통합","#05와 탭통합 → work_todo 단일 화면(탭 a/b)"
"mypage","내정보","04","work","업무","work_submit","서류제출(내정보)","유지","마이페이지 서류제출. HR-11(인사관리-서류제출)과 별도 라우트"
"mypage","내정보","05","work","업무","work_todo","할일","탭통합","#03과 탭통합 → work_todo 흡수. 추정: a/b 구분은 필터탭"
"mypage","내정보","06","work","업무","work_contract_form","표준근로계약서 양식","유지","PC전용 인쇄용 화면. 계약관리(HR-08)와 연계"
"extra","추가기능","07","ops","운영","ops_dept_inventory","부서별 물품재고","유지","현장 조회. 재고관리(IV-01)와 중복 가능성 — 추정"
"extra","추가기능","08","ops","운영","ops_op_check","OP체크","스텝통합","#08~12 → ops_op_check 단일화. 상태전이를 카드 인라인으로"
"extra","추가기능","09","ops","운영","ops_op_check","OP체크","스텝통합","환자정보 상세 → ops_op_check 내 드로어/패널로 흡수"
"extra","추가기능","10","ops","운영","ops_op_check","OP체크","스텝통합","준비완료 상태 → 카드 배지·버튼으로 통합"
"extra","추가기능","11","ops","운영","ops_op_check","OP체크","스텝통합","수술시작 상태 → 인라인 액션 버튼"
"extra","추가기능","12","ops","운영","ops_op_check","OP체크","스텝통합","수술완료 상태 → 완료 배지로 통합. 5→1장"
"extra","추가기능","13","ops","운영","ops_handover","병동인계","유지","인계노트. 양쪽필수"
"extra","추가기능","14","ops","운영","ops_closing_report","마감보고","탭통합","목록+생성 마스터-디테일. #15 생성은 모달로 흡수"
"extra","추가기능","15","ops","운영","ops_closing_report","마감보고","모달통합","#14 목록 내 모달 생성으로 흡수 → ops_closing_report"
"extra","추가기능","16","ops","운영","ops_staff_eval","직원평가","유지","PC전용. 분기별 사용"
"extra","추가기능","17","ops","운영","ops_discharge","퇴원심사","스텝통합","6→2장 워크플로우. 목록+스텝패널"
"extra","추가기능","18","ops","운영","ops_discharge","퇴원심사","스텝통합","새심사(a) → ops_discharge 스텝1 패널로 흡수"
"extra","추가기능","19","ops","운영","ops_discharge","퇴원심사","스텝통합","새심사(b) → ops_discharge 스텝2 패널로 흡수"
"extra","추가기능","20","ops","운영","ops_discharge_settings","퇴원심사 설정","탭통합","기본항목설정+템플릿목록 → ops_discharge_settings 탭1/2"
"extra","추가기능","21","ops","운영","ops_discharge_settings","퇴원심사 설정","탭통합","템플릿목록 → ops_discharge_settings 탭2"
"extra","추가기능","22","ops","운영","ops_discharge_settings","퇴원심사 설정","모달통합","템플릿수정 → ops_discharge_settings 내 인라인 편집 모달"
"board","게시판","23","work","업무","work_notice","공지사항","유지","게시판 조회 전용"
"board","게시판","24","work","업무","work_board","자유게시판","유지","게시글 상세 뷰"
"approval","전자결재","25","work","업무","work_approval","전자결재 기안함","유지","모바일 결재 빈번"
"approval","전자결재","26","work","업무","work_approval_compose","전자결재 작성","유지","폼 복잡도 높음. 유지"
"hr","인사관리","27","hr","인사·근태·급여","hr_members","구성원","유지","직원 조회 핵심"
"hr","인사관리","28","hr","인사·근태·급여","hr_personnel_order","인사발령","유지","PC전용. 건 드묾"
"hr","인사관리","29","hr","인사·근태·급여","hr_education","교육","유지","주기적 교육 기록"
"hr","인사관리","30","hr","인사·근태·급여","hr_attendance","근태(대시보드·달력·근무표)","탭통합","#30+31+34 → hr_attendance 탭통합. 탭: 대시보드/근무표/달력"
"hr","인사관리","31","hr","인사·근태·급여","hr_attendance","근태(대시보드·달력·근무표)","탭통합","근무표 생성 → hr_attendance 탭 안으로"
"hr","인사관리","32","hr","인사·근태·급여","hr_attendance","근태(대시보드·달력·근무표)","모달통합","AI 자동생성 → hr_attendance 내 모달/패널"
"hr","인사관리","33","hr","인사·근태·급여","hr_attendance","근태(대시보드·달력·근무표)","모달통합","3교대 마법사 → hr_attendance 내 스텝 모달"
"hr","인사관리","34","hr","인사·근태·급여","hr_attendance","근태(대시보드·달력·근무표)","탭통합","근태달력 → hr_attendance 탭 안으로"
"hr","인사관리","35","hr","인사·근태·급여","hr_leave","연차·휴가","탭통합","연차 4장 → hr_leave 탭통합(a/b/c/d → 탭)"
"hr","인사관리","36","hr","인사·근태·급여","hr_leave","연차·휴가","탭통합","(b) → hr_leave 흡수"
"hr","인사관리","37","hr","인사·근태·급여","hr_leave","연차·휴가","탭통합","(c) → hr_leave 흡수"
"hr","인사관리","38","hr","인사·근태·급여","hr_leave","연차·휴가","탭통합","(d) → hr_leave 흡수"
"hr","인사관리","39","hr","인사·근태·급여","hr_attendance_alert","근태이상감지","탭통합","이상감지 2탭 → hr_attendance_alert"
"hr","인사관리","40","hr","인사·근태·급여","hr_attendance_alert","근태이상감지","탭통합","(b) → hr_attendance_alert 흡수"
"hr","인사관리","41","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","급여 13장 → hr_payroll 탭워크센터. 탭: 대시보드"
"hr","인사관리","42","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","급여정산 → hr_payroll 탭"
"hr","인사관리","43","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","급여대장 → hr_payroll 탭"
"hr","인사관리","44","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","퇴직정산 → hr_payroll 탭"
"hr","인사관리","45","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","원천징수파일 → hr_payroll 탭"
"hr","인사관리","46","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","4대보험 → hr_payroll 탭"
"hr","인사관리","47","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","시뮬레이터 → hr_payroll 탭"
"hr","인사관리","48","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","퇴직연금 → hr_payroll 탭"
"hr","인사관리","49","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","임금피크제 → hr_payroll 탭"
"hr","인사관리","50","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","최저임금/비과세점검 → hr_payroll 탭"
"hr","인사관리","51","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","통상임금계산기 → hr_payroll 탭"
"hr","인사관리","52","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","미지급수당점검 → hr_payroll 탭"
"hr","인사관리","53","hr","인사·근태·급여","hr_payroll","급여 워크센터","탭통합","무급결근차감 → hr_payroll 탭"
"hr","인사관리","54","hr","인사·근태·급여","hr_family_event","경조사 관리","탭통합","경조사관리 목록 + #55 등록 마스터-디테일"
"hr","인사관리","55","hr","인사·근태·급여","hr_family_event","경조사 관리","모달통합","경조사등록 → hr_family_event 내 모달"
"hr","인사관리","56","hr","인사·근태·급여","hr_health_check","건강검진","유지","연간 관리. PC전용"
"hr","인사관리","57","hr","인사·근태·급여","hr_license","면허·자격증","유지","채용·갱신 시 사용"
"hr","인사관리","58","hr","인사·근태·급여","hr_medical_device","의료기기점검","유지","현장 점검. 양쪽필수"
"hr","인사관리","59","hr","인사·근태·급여","hr_contract","계약관리","탭통합","계약현황 목록 + #60 자동생성 마스터-디테일"
"hr","인사관리","60","hr","인사·근태·급여","hr_contract","계약관리","모달통합","계약서 자동생성 → hr_contract 내 모달. AI+직인 포함"
"hr","인사관리","61","hr","인사·근태·급여","hr_doc_archive","문서보관함","유지","문서 아카이브. PC전용"
"hr","인사관리","62","hr","인사·근태·급여","hr_certificate","증명서발급","유지","직원 셀프발급. 양쪽필수"
"hr","인사관리","63","hr","인사·근태·급여","hr_submit","서류제출(HR)","유지","입사 서류 업로드. #04(내정보-서류제출)과 별도"
"inventory","재고관리","64","ops","운영","ops_inventory","재고현황","유지","현장 조회 핵심"
"inventory","재고관리","65","ops","운영","ops_inventory","재고현황","탭통합","내 부서 재고 → ops_inventory 탭으로 통합"
"inventory","재고관리","66","ops","운영","ops_inventory_io","입출고 물품등록","유지","현장 입출고 처리"
"inventory","재고관리","67","ops","운영","ops_purchase_order","구매 발주","유지","구매팀 사무 작업. PC전용"
"inventory","재고관리","68","ops","운영","ops_assets","품목·자산","탭통합","품목자산 + QR 탭 통합"
"inventory","재고관리","69","ops","운영","ops_assets","품목·자산","탭통합","품목자산 QR → ops_assets 탭(모바일 전용 탭)"
"inventory","재고관리","70","ops","운영","ops_inventory_close","분석·마감","유지","월별 마감. PC전용"
"admin","관리자","71","mgmt","경영","mgmt_dashboard","경영·재무 대시보드","탭통합","경영+재무 대시보드 탭통합"
"admin","관리자","72","mgmt","경영","mgmt_dashboard","경영·재무 대시보드","탭통합","재무대시보드 → mgmt_dashboard 탭으로 흡수"
"admin","관리자","73","mgmt","경영","mgmt_budget","예산관리","유지","월별 예산 입력. PC전용"
"admin","관리자","74","mgmt","경영","mgmt_report","통합보고서","유지","보고서 생성·출력"
"admin","관리자","75","mgmt","경영","mgmt_pl","법인손익","유지","법인 단위 손익"
"admin","관리자","76","mgmt","경영","mgmt_analysis","경영분석","탭통합","경영분석 2탭 → mgmt_analysis 통합"
"admin","관리자","77","mgmt","경영","mgmt_analysis","경영분석","탭통합","(b) → mgmt_analysis 탭으로 흡수"
"admin","관리자","78","settings","설정","settings_company","회사관리","탭통합","회사관리 7항목 탭통합 → settings_company"
"admin","관리자","79","settings","설정","settings_company","회사관리","탭통합","근무형태 → settings_company 탭"
"admin","관리자","80","settings","설정","settings_company","회사관리","탭통합","법인카드 → settings_company 탭"
"admin","관리자","81","settings","설정","settings_template","템플릿 라이브러리","탭통합","계약템플릿+운영설정템플릿 통합 → settings_template. 추정: 완전 통합 가능성"
"admin","관리자","82","settings","설정","settings_company","회사관리","탭통합","휴가기준/공휴일 → settings_company 탭"
"admin","관리자","83","settings","설정","settings_company","회사관리","탭통합","급여기준 → settings_company 탭"
"admin","관리자","84","settings","설정","settings_company","회사관리","탭통합","문서보관 → settings_company 탭"
"admin","관리자","85","settings","설정","settings_permissions","직원권한","유지","권한 설정. PC전용. 신중 필요"
"admin","관리자","86","settings","설정","settings_template","템플릿 라이브러리","탭통합","운영설정 → settings_template 탭1(기본설정)"
"admin","관리자","87","settings","설정","settings_template","템플릿 라이브러리","탭통합","운영설정 템플릿(a) → settings_template 탭2"
"admin","관리자","88","settings","설정","settings_template","템플릿 라이브러리","탭통합","운영설정 템플릿(b) → settings_template 탭3"
